"","RID","GroupAssignment","Age_Yrs","Year_of_Study","Live_Pets","Consumer_BARK","Stage","PANAS_PA","SHS","SCS","Engagement","FS","Stress","Homesick","Lonely","PANAS_NA","diff","Group"
"176",176,"Direct",18,1,2,1,"post",3.6,3.66666666666667,4.7,2,5.25,1,3,2.2,2,0.0500000000000003,"Direct"
"177",177,"Indirect",19,2,2,1,"post",2.4,4.66666666666667,5.55,2,6.125,2,1,1.15,2,-0.4,"Indirect"
"178",178,"Control",21,4,2,1,"post",2.8,2.66666666666667,4.25,3,5.125,2,1,1.55,2.6,-0.0999999999999999,"Control"
"179",179,"Direct",21,3,2,1,"post",3.8,3.66666666666667,5.2,2,6.125,2,2,1.4,1.6,-0.05,"Direct"
"180",180,"Indirect",21,3,1,1,"post",4,3.33333333333333,4.15,2,5.625,3,1,2.1,2.6,-0.2,"Indirect"
"181",181,"Control",19,2,2,1,"post",3.8,4.33333333333333,5.55,2,6.125,2,3,1.4,1.2,-0.3,"Control"
"182",182,"Direct",19,2,2,1,"post",3.4,3.33333333333333,4.85,3,6,2,2,1.8,2,0.2,"Direct"
"183",183,"Indirect",25,5,1,1,"post",5,4.33333333333333,5.35,3,7,2,1,1.55,1,0,"Indirect"
"184",184,"Control",21,4,1,1,"post",1.4,2,3.9,4,5.25,4,3,2.4,1.4,0.15,"Control"
"185",185,"Direct",20,2,1,1,"post",3.6,3.33333333333333,5.05,1,5.875,2,1,1.6,1,-0.4,"Direct"
"186",186,"Indirect",19,2,2,2,"post",3.8,4.66666666666667,5.85,1,6.75,2,5,1.35,1.2,-0.55,"Indirect"
"187",187,"Control",22,4,2,1,"post",3,2.66666666666667,3.6,4,4.75,2,4,2.3,1.4,0.3,"Control"
"188",188,"Direct",20,4,2,1,"post",2.4,3,3.6,2,3.5,2,1,2.45,1.2,-0.95,"Direct"
"189",189,"Indirect",21,4,1,1,"post",2.6,3.66666666666667,5,3,6.25,1,1,1.55,1,-0.2,"Indirect"
"190",190,"Control",18,1,2,1,"post",3.4,3.66666666666667,4.95,2,5.375,2,3,1.8,2.2,0.15,"Control"
"191",191,"Direct",22,4,1,1,"post",3.6,4,4.8,3,6.5,2,1,1.75,1,-0.15,"Direct"
"192",192,"Indirect",18,1,2,1,"post",3.6,4,4.4,3,5.5,3,3,1.9,1.4,-0.1,"Indirect"
