Hand #,Marked,Site,Date,Stake,My C Won,Final Hand,Hole Cards,PF Act,Flop,F Act,Turn,T Act,River,R Act,Winner,Winning Hand,Pot,Rake,won_cumul
213870000000,NA,PokerStars,5/18/2020 9:37,$1 NL (6 max),($13.02),"Two Pair, Queens and Sixes",Qh5d,X,8d6hQs,B,6s,B,3s,XC,gmmg1129,"Three of a Kind, Sixes",$27.54,$1.38,757.23
213870000000,NA,PokerStars,5/18/2020 9:37,$1 NL (6 max),$0.00,(folded preflop),As6c,F,3sKdQc,NA,0,NA,0,NA,jwich2232,(did not show hand),$10.00,$0.50,757.23
213870000000,NA,PokerStars,5/18/2020 9:37,$1 NL (6 max),$0.00,(folded preflop),As3c,F,0,NA,0,NA,0,NA,johntozz1,(did not show hand),$1.00,$0.00,757.23
213870000000,NA,PokerStars,5/18/2020 9:38,$1 NL (6 max),$0.90,(did not show hand),JsTh,X,3cJc5d,B,0,NA,0,NA,Chip3ter,(did not show hand),$2.00,$0.10,758.13
213870000000,NA,PokerStars,5/18/2020 9:38,$1 NL (6 max),($0.50),(folded preflop),7d3s,F,Kc3cTc,NA,Qd,NA,6h,NA,johntozz1,"One Pair, Nines",$6.50,$0.32,757.63
213870000000,NA,PokerStars,5/18/2020 9:38,$1 NL (6 max),$1.50,(did not show hand),AsQs,R,0,NA,0,NA,0,NA,Chip3ter,(did not show hand),$2.50,$0.00,759.13
213870000000,NA,PokerStars,5/18/2020 9:38,$1 NL (6 max),$0.00,(folded preflop),Ts7h,F,0,NA,0,NA,0,NA,avan1911,(did not show hand),$1.00,$0.00,759.13
213870000000,NA,PokerStars,5/18/2020 9:38,$1 NL (6 max),$6.50,(did not show hand),KdTh,R,3cKc3d,B,0,NA,0,NA,Chip3ter,(did not show hand),$10.00,$0.50,765.63
213871000000,NA,PokerStars,5/18/2020 9:39,$1 NL (6 max),$0.00,(folded preflop),Tc7h,F,Qd4hAs,NA,0,NA,0,NA,12Gator12,(did not show hand),$4.00,$0.20,765.63
213871000000,NA,PokerStars,5/18/2020 9:39,$1 NL (6 max),($1.00),(folded flop),2d2c,C,Kc5hAc,XF,0,NA,0,NA,avan1911,(did not show hand),$3.00,$0.15,764.63
213870000000,NA,PokerStars,5/18/2020 9:39,$1 NL (6 max),($9.46),(folded river),4d4h,X,4c2h5h,B,6c,B,8h,XF,jwich2232,(did not show hand),$22.42,$1.12,755.1700000000001
213871000000,NA,PokerStars,5/18/2020 9:40,$1 NL (6 max),$0.00,(folded preflop),Ad8h,F,0,NA,0,NA,0,NA,Gissa22879,(did not show hand),$1.00,$0.00,755.1700000000001
213871000000,NA,PokerStars,5/18/2020 9:40,$1 NL (6 max),$0.00,(folded preflop),Kd6h,F,Kc2h7s,NA,Jd,NA,Ks,NA,gmmg1129,"Three of a Kind, Kings",$29.00,$1.45,755.1700000000001
213871000000,NA,PokerStars,5/18/2020 9:40,$1 NL (6 max),$0.00,(folded preflop),4d2h,F,0,NA,0,NA,0,NA,Estelle Getty,(did not show hand),$3.50,$0.00,755.1700000000001
213871000000,NA,PokerStars,5/18/2020 9:40,$1 NL (6 max),($0.50),(folded preflop),Tc9s,F,2s8d4s,NA,0,NA,0,NA,JDUBB0419,(did not show hand),$6.50,$0.32,754.6700000000001
213871000000,NA,PokerStars,5/18/2020 9:41,$1 NL (6 max),$0.00,(folded preflop),Qs4h,F,Qd2hJs,NA,Jd,NA,0,NA,jwich2232,(did not show hand),$19.00,$0.95,754.6700000000001
213871000000,NA,PokerStars,5/18/2020 9:41,$1 NL (6 max),$0.00,(folded preflop),Ac3d,F,KsTc9c,NA,Ad,NA,Kd,NA,maschers68,"Two Pair, Kings and Nines",$2.00,$0.10,754.6700000000001
213871000000,NA,PokerStars,5/18/2020 9:41,$1 NL (6 max),$3.18,(did not show hand),JdTc,R,6cKd5s,B,0,NA,0,NA,Chip3ter,(did not show hand),$6.50,$0.32,757.85
213871000000,NA,PokerStars,5/18/2020 9:41,$1 NL (6 max),$0.00,(folded preflop),Jc7c,F,9h3d5c,NA,0,NA,0,NA,maschers68,(did not show hand),$9.00,$0.45,757.85
213871000000,NA,PokerStars,5/18/2020 9:42,$1 NL (6 max),$0.00,(folded preflop),8h4c,F,4s6d5h,NA,9d,NA,3s,NA,Estelle Getty,"One Pair, Fives",$16.00,$0.80,757.85
213871000000,NA,PokerStars,5/18/2020 9:42,$1 NL (6 max),$0.00,(folded preflop),Qs6d,F,Ts9h3d,NA,8h,NA,Td,NA,johntozz1,"Two Pair, Tens and Nines",$4.50,$0.22,757.85
213871000000,NA,PokerStars,5/18/2020 9:42,$1 NL (6 max),$0.00,(folded preflop),Th2s,F,5dJs7c,NA,9h,NA,3d,NA,Dueces1515,"One Pair, Fours",$24.50,$1.22,757.85
